t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.014320,1.009949,0.979883,0.104516,1.009998,0.979891,-0.895484,0.000049,0.000008,-1.000000,1.000000,0.000050,0.002848,gazebo_link_pair
0.014341,1.009949,0.979883,0.104516,1.009998,0.979891,-0.895484,0.000049,0.000008,-1.000000,1.000000,0.000050,0.002846,gazebo_link_pair
0.014350,1.009949,0.979883,0.104516,1.009998,0.979891,-0.895484,0.000049,0.000008,-1.000000,1.000000,0.000050,0.002844,gazebo_link_pair
0.021897,1.009949,0.979883,0.104516,1.009998,0.979891,-0.895484,0.000049,0.000008,-1.000000,1.000000,0.000050,0.002841,gazebo_link_pair
0.021913,1.009949,0.979884,0.104516,1.009998,0.979891,-0.895484,0.000049,0.000008,-1.000000,1.000000,0.000049,0.002825,gazebo_link_pair
0.031953,1.009949,0.979884,0.104516,1.009998,0.979891,-0.895484,0.000049,0.000008,-1.000000,1.000000,0.000049,0.002821,gazebo_link_pair
0.031970,1.009949,0.979884,0.104516,1.009998,0.979891,-0.895484,0.000049,0.000008,-1.000000,1.000000,0.000049,0.002817,gazebo_link_pair
0.031978,1.009949,0.979883,0.104516,1.009998,0.979891,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000049,0.002812,gazebo_link_pair
0.042064,1.009949,0.979883,0.104516,1.009998,0.979891,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000049,0.002807,gazebo_link_pair
0.042093,1.009949,0.979883,0.104516,1.009998,0.979891,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000049,0.002801,gazebo_link_pair
0.052172,1.009949,0.979883,0.104516,1.009997,0.979891,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000049,0.002795,gazebo_link_pair
0.052226,1.009949,0.979883,0.104516,1.009997,0.979891,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000049,0.002788,gazebo_link_pair
0.052252,1.009949,0.979883,0.104516,1.009997,0.979891,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000049,0.002781,gazebo_link_pair
0.061999,1.009949,0.979883,0.104516,1.009997,0.979892,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000048,0.002774,gazebo_link_pair
0.062046,1.009949,0.979883,0.104516,1.009997,0.979892,-0.895484,0.000048,0.000008,-1.000000,1.000000,0.000048,0.002766,gazebo_link_pair
0.071904,1.009949,0.979883,0.104516,1.009997,0.979892,-0.895484,0.000047,0.000008,-1.000000,1.000000,0.000048,0.002758,gazebo_link_pair
0.071927,1.009949,0.979883,0.104516,1.009997,0.979892,-0.895484,0.000047,0.000008,-1.000000,1.000000,0.000048,0.002749,gazebo_link_pair
0.082019,1.009949,0.979883,0.104516,1.009996,0.979892,-0.895484,0.000047,0.000008,-1.000000,1.000000,0.000048,0.002740,gazebo_link_pair
0.082047,1.009949,0.979883,0.104516,1.009996,0.979892,-0.895484,0.000047,0.000008,-1.000000,1.000000,0.000048,0.002730,gazebo_link_pair
0.082063,1.009949,0.979883,0.104516,1.009996,0.979892,-0.895484,0.000047,0.000008,-1.000000,1.000000,0.000047,0.002720,gazebo_link_pair
0.091907,1.009949,0.979884,0.104516,1.009996,0.979892,-0.895484,0.000046,0.000008,-1.000000,1.000000,0.000047,0.002697,gazebo_link_pair
0.091945,1.009949,0.979884,0.104516,1.009996,0.979892,-0.895484,0.000046,0.000008,-1.000000,1.000000,0.000047,0.002686,gazebo_link_pair
0.102031,1.009949,0.979884,0.104516,1.009995,0.979891,-0.895484,0.000046,0.000008,-1.000000,1.000000,0.000047,0.002675,gazebo_link_pair
0.102107,1.009949,0.979884,0.104516,1.009995,0.979891,-0.895484,0.000046,0.000008,-1.000000,1.000000,0.000046,0.002663,gazebo_link_pair
0.102142,1.009949,0.979884,0.104516,1.009995,0.979891,-0.895484,0.000046,0.000008,-1.000000,1.000000,0.000046,0.002651,gazebo_link_pair
0.112106,1.009949,0.979884,0.104516,1.009995,0.979891,-0.895484,0.000045,0.000008,-1.000000,1.000000,0.000046,0.002639,gazebo_link_pair
0.112159,1.009949,0.979884,0.104516,1.009994,0.979891,-0.895484,0.000045,0.000008,-1.000000,1.000000,0.000046,0.002626,gazebo_link_pair
0.121927,1.009949,0.979884,0.104516,1.009994,0.979891,-0.895484,0.000045,0.000008,-1.000000,1.000000,0.000046,0.002612,gazebo_link_pair
0.121991,1.009949,0.979883,0.104516,1.009994,0.979891,-0.895484,0.000045,0.000008,-1.000000,1.000000,0.000045,0.002598,gazebo_link_pair
0.122037,1.009949,0.979883,0.104516,1.009994,0.979891,-0.895484,0.000044,0.000008,-1.000000,1.000000,0.000045,0.002584,gazebo_link_pair
0.132183,1.009949,0.979883,0.104516,1.009993,0.979891,-0.895484,0.000044,0.000008,-1.000000,1.000000,0.000045,0.002570,gazebo_link_pair
0.132257,1.009949,0.979883,0.104516,1.009993,0.979891,-0.895484,0.000044,0.000008,-1.000000,1.000000,0.000045,0.002555,gazebo_link_pair
0.132305,1.009949,0.979883,0.104516,1.009993,0.979891,-0.895484,0.000044,0.000008,-1.000000,1.000000,0.000044,0.002539,gazebo_link_pair
0.141912,1.009949,0.979883,0.104516,1.009993,0.979891,-0.895484,0.000043,0.000008,-1.000000,1.000000,0.000044,0.002523,gazebo_link_pair
0.141974,1.009949,0.979883,0.104516,1.009992,0.979891,-0.895484,0.000043,0.000008,-1.000000,1.000000,0.000044,0.002507,gazebo_link_pair
0.152167,1.009949,0.979883,0.104516,1.009992,0.979891,-0.895484,0.000043,0.000008,-1.000000,1.000000,0.000043,0.002491,gazebo_link_pair
0.152228,1.009949,0.979884,0.104516,1.009992,0.979891,-0.895484,0.000042,0.000008,-1.000000,1.000000,0.000043,0.002461,gazebo_link_pair
0.152260,1.009949,0.979884,0.104516,1.009991,0.979891,-0.895484,0.000042,0.000008,-1.000000,1.000000,0.000043,0.002444,gazebo_link_pair
0.161909,1.009949,0.979884,0.104516,1.009991,0.979891,-0.895484,0.000042,0.000008,-1.000000,1.000000,0.000042,0.002426,gazebo_link_pair
0.161970,1.009949,0.979884,0.104516,1.009991,0.979891,-0.895484,0.000041,0.000008,-1.000000,1.000000,0.000042,0.002408,gazebo_link_pair
0.172001,1.009949,0.979884,0.104516,1.009990,0.979891,-0.895484,0.000041,0.000008,-1.000000,1.000000,0.000042,0.002389,gazebo_link_pair
0.172056,1.009949,0.979884,0.104516,1.009990,0.979891,-0.895484,0.000041,0.000008,-1.000000,1.000000,0.000041,0.002370,gazebo_link_pair
0.182016,1.009949,0.979884,0.104516,1.009990,0.979891,-0.895484,0.000040,0.000008,-1.000000,1.000000,0.000041,0.002351,gazebo_link_pair
0.182096,1.009949,0.979884,0.104516,1.009989,0.979891,-0.895484,0.000040,0.000007,-1.000000,1.000000,0.000041,0.002331,gazebo_link_pair
0.182134,1.009949,0.979884,0.104516,1.009989,0.979891,-0.895484,0.000040,0.000007,-1.000000,1.000000,0.000040,0.002311,gazebo_link_pair
0.192234,1.009949,0.979884,0.104516,1.009989,0.979891,-0.895484,0.000039,0.000007,-1.000000,1.000000,0.000040,0.002291,gazebo_link_pair
0.192346,1.009949,0.979884,0.104516,1.009988,0.979891,-0.895484,0.000039,0.000007,-1.000000,1.000000,0.000040,0.002270,gazebo_link_pair
0.192431,1.009949,0.979884,0.104516,1.009988,0.979891,-0.895484,0.000039,0.000007,-1.000000,1.000000,0.000039,0.002249,gazebo_link_pair
0.202640,1.009949,0.979884,0.104516,1.009987,0.979891,-0.895483,0.000038,0.000007,-1.000000,1.000000,0.000039,0.002228,gazebo_link_pair
0.202741,1.009949,0.979883,0.104516,1.009987,0.979891,-0.895483,0.000038,0.000007,-1.000000,1.000000,0.000039,0.002206,gazebo_link_pair
0.212087,1.009949,0.979883,0.104516,1.009987,0.979891,-0.895483,0.000037,0.000007,-1.000000,1.000000,0.000038,0.002184,gazebo_link_pair
0.212139,1.009949,0.979883,0.104516,1.009986,0.979891,-0.895483,0.000037,0.000007,-1.000000,1.000000,0.000038,0.002161,gazebo_link_pair
0.221861,1.009949,0.979884,0.104517,1.009986,0.979891,-0.895483,0.000036,0.000007,-1.000000,1.000000,0.000037,0.002126,gazebo_link_pair
0.221894,1.009949,0.979884,0.104517,1.009985,0.979891,-0.895483,0.000036,0.000007,-1.000000,1.000000,0.000037,0.002103,gazebo_link_pair
0.221912,1.009949,0.979884,0.104517,1.009985,0.979891,-0.895483,0.000036,0.000007,-1.000000,1.000000,0.000036,0.002079,gazebo_link_pair
0.232061,1.009949,0.979884,0.104517,1.009985,0.979891,-0.895483,0.000035,0.000007,-1.000000,1.000000,0.000036,0.002055,gazebo_link_pair
0.232101,1.009949,0.979884,0.104517,1.009984,0.979891,-0.895483,0.000035,0.000007,-1.000000,1.000000,0.000035,0.002031,gazebo_link_pair
0.241954,1.009949,0.979884,0.104517,1.009984,0.979890,-0.895483,0.000034,0.000007,-1.000000,1.000000,0.000035,0.002007,gazebo_link_pair
0.242016,1.009949,0.979884,0.104517,1.009983,0.979890,-0.895483,0.000034,0.000007,-1.000000,1.000000,0.000035,0.001982,gazebo_link_pair
0.242149,1.009949,0.979884,0.104517,1.009983,0.979890,-0.895483,0.000033,0.000007,-1.000000,1.000000,0.000034,0.001957,gazebo_link_pair
0.252223,1.009949,0.979884,0.104517,1.009982,0.979890,-0.895483,0.000033,0.000007,-1.000000,1.000000,0.000034,0.001932,gazebo_link_pair
0.252298,1.009949,0.979884,0.104517,1.009982,0.979890,-0.895483,0.000033,0.000007,-1.000000,1.000000,0.000033,0.001906,gazebo_link_pair
0.262161,1.009949,0.979884,0.104517,1.009981,0.979890,-0.895483,0.000032,0.000007,-1.000000,1.000000,0.000033,0.001880,gazebo_link_pair
0.262215,1.009949,0.979884,0.104517,1.009981,0.979890,-0.895483,0.000032,0.000007,-1.000000,1.000000,0.000032,0.001854,gazebo_link_pair
0.262244,1.009949,0.979884,0.104517,1.009980,0.979890,-0.895483,0.000031,0.000007,-1.000000,1.000000,0.000032,0.001827,gazebo_link_pair
0.271977,1.009949,0.979884,0.104517,1.009980,0.979890,-0.895483,0.000031,0.000007,-1.000000,1.000000,0.000031,0.001800,gazebo_link_pair
0.272000,1.009949,0.979884,0.104517,1.009979,0.979890,-0.895483,0.000030,0.000006,-1.000000,1.000000,0.000031,0.001773,gazebo_link_pair
0.281842,1.009949,0.979884,0.104517,1.009979,0.979890,-0.895483,0.000030,0.000006,-1.000000,1.000000,0.000030,0.001746,gazebo_link_pair
0.281873,1.009949,0.979884,0.104517,1.009979,0.979890,-0.895483,0.000029,0.000006,-1.000000,1.000000,0.000030,0.001705,gazebo_link_pair
0.281888,1.009949,0.979884,0.104517,1.009978,0.979890,-0.895483,0.000029,0.000006,-1.000000,1.000000,0.000029,0.001677,gazebo_link_pair
0.292060,1.009949,0.979884,0.104517,1.009978,0.979890,-0.895483,0.000028,0.000006,-1.000000,1.000000,0.000029,0.001649,gazebo_link_pair
0.292109,1.009949,0.979884,0.104517,1.009977,0.979890,-0.895483,0.000028,0.000006,-1.000000,1.000000,0.000028,0.001620,gazebo_link_pair
0.302069,1.009949,0.979884,0.104517,1.009976,0.979890,-0.895483,0.000027,0.000006,-1.000000,1.000000,0.000028,0.001592,gazebo_link_pair
0.302141,1.009949,0.979884,0.104517,1.009976,0.979890,-0.895483,0.000027,0.000006,-1.000000,1.000000,0.000027,0.001563,gazebo_link_pair
0.302182,1.009949,0.979884,0.104517,1.009975,0.979890,-0.895483,0.000026,0.000006,-1.000000,1.000000,0.000027,0.001534,gazebo_link_pair
0.312135,1.009949,0.979884,0.104517,1.009975,0.979889,-0.895483,0.000026,0.000006,-1.000000,1.000000,0.000026,0.001504,gazebo_link_pair
0.312200,1.009949,0.979884,0.104517,1.009974,0.979889,-0.895483,0.000025,0.000006,-1.000000,1.000000,0.000026,0.001474,gazebo_link_pair
0.321916,1.009949,0.979884,0.104517,1.009974,0.979889,-0.895483,0.000025,0.000006,-1.000000,1.000000,0.000025,0.001445,gazebo_link_pair
0.321972,1.009949,0.979884,0.104517,1.009973,0.979889,-0.895483,0.000024,0.000006,-1.000000,1.000000,0.000025,0.001414,gazebo_link_pair
0.322004,1.009949,0.979884,0.104517,1.009973,0.979889,-0.895483,0.000024,0.000005,-1.000000,1.000000,0.000024,0.001384,gazebo_link_pair
0.332028,1.009949,0.979884,0.104517,1.009972,0.979889,-0.895483,0.000023,0.000005,-1.000000,1.000000,0.000024,0.001354,gazebo_link_pair
0.332099,1.009949,0.979884,0.104517,1.009972,0.979889,-0.895483,0.000022,0.000005,-1.000000,1.000000,0.000023,0.001323,gazebo_link_pair
0.342248,1.009949,0.979884,0.104517,1.009971,0.979889,-0.895483,0.000022,0.000005,-1.000000,1.000000,0.000023,0.001292,gazebo_link_pair
0.342327,1.009949,0.979884,0.104517,1.009971,0.979889,-0.895483,0.000021,0.000005,-1.000000,1.000000,0.000022,0.001261,gazebo_link_pair
0.342373,1.009949,0.979884,0.104517,1.009970,0.979889,-0.895483,0.000021,0.000005,-1.000000,1.000000,0.000021,0.001216,gazebo_link_pair
0.352226,1.009949,0.979884,0.104517,1.009969,0.979889,-0.895483,0.000020,0.000005,-1.000000,1.000000,0.000021,0.001184,gazebo_link_pair
0.352340,1.009949,0.979884,0.104517,1.009969,0.979889,-0.895483,0.000020,0.000005,-1.000000,1.000000,0.000020,0.001153,gazebo_link_pair
0.352416,1.009949,0.979884,0.104517,1.009968,0.979889,-0.895483,0.000019,0.000005,-1.000000,1.000000,0.000020,0.001121,gazebo_link_pair
0.362096,1.009949,0.979884,0.104517,1.009968,0.979888,-0.895483,0.000018,0.000005,-1.000000,1.000000,0.000019,0.001089,gazebo_link_pair
0.362155,1.009949,0.979884,0.104517,1.009967,0.979888,-0.895483,0.000018,0.000005,-1.000000,1.000000,0.000018,0.001056,gazebo_link_pair
0.371983,1.009949,0.979884,0.104517,1.009967,0.979888,-0.895483,0.000017,0.000005,-1.000000,1.000000,0.000018,0.001024,gazebo_link_pair
0.372001,1.009949,0.979884,0.104517,1.009966,0.979888,-0.895483,0.000017,0.000004,-1.000000,1.000000,0.000017,0.000992,gazebo_link_pair
0.381867,1.009949,0.979884,0.104517,1.009965,0.979888,-0.895483,0.000016,0.000004,-1.000000,1.000000,0.000017,0.000959,gazebo_link_pair
0.381899,1.009949,0.979884,0.104517,1.009965,0.979888,-0.895483,0.000016,0.000004,-1.000000,1.000000,0.000016,0.000926,gazebo_link_pair
0.381914,1.009949,0.979884,0.104517,1.009964,0.979888,-0.895483,0.000015,0.000004,-1.000000,1.000000,0.000016,0.000893,gazebo_link_pair
0.391995,1.009949,0.979884,0.104517,1.009964,0.979888,-0.895483,0.000014,0.000004,-1.000000,1.000000,0.000015,0.000860,gazebo_link_pair
0.392058,1.009949,0.979884,0.104517,1.009963,0.979888,-0.895483,0.000014,0.000004,-1.000000,1.000000,0.000014,0.000827,gazebo_link_pair
0.401992,1.009949,0.979884,0.104517,1.009962,0.979888,-0.895483,0.000013,0.000004,-1.000000,1.000000,0.000014,0.000794,gazebo_link_pair
0.402086,1.009949,0.979884,0.104517,1.009962,0.979888,-0.895483,0.000013,0.000004,-1.000000,1.000000,0.000013,0.000761,gazebo_link_pair
0.402133,1.009949,0.979884,0.104517,1.009961,0.979888,-0.895483,0.000012,0.000004,-1.000000,1.000000,0.000013,0.000727,gazebo_link_pair
0.412216,1.009949,0.979884,0.104517,1.009961,0.979887,-0.895483,0.000011,0.000004,-1.000000,1.000000,0.000012,0.000679,gazebo_link_pair
0.412301,1.009949,0.979884,0.104517,1.009960,0.979887,-0.895483,0.000011,0.000003,-1.000000,1.000000,0.000011,0.000646,gazebo_link_pair
0.412349,1.009949,0.979884,0.104517,1.009959,0.979887,-0.895483,0.000010,0.000003,-1.000000,1.000000,0.000011,0.000612,gazebo_link_pair
0.421915,1.009949,0.979884,0.104517,1.009959,0.979887,-0.895483,0.000010,0.000003,-1.000000,1.000000,0.000010,0.000578,gazebo_link_pair
0.421993,1.009949,0.979884,0.104517,1.009958,0.979887,-0.895483,0.000009,0.000003,-1.000000,1.000000,0.000010,0.000545,gazebo_link_pair
0.432169,1.009949,0.979884,0.104517,1.009958,0.979887,-0.895483,0.000008,0.000003,-1.000000,1.000000,0.000009,0.000511,gazebo_link_pair
0.432252,1.009949,0.979884,0.104517,1.009957,0.979887,-0.895483,0.000008,0.000003,-1.000000,1.000000,0.000008,0.000477,gazebo_link_pair
0.432300,1.009949,0.979884,0.104517,1.009956,0.979887,-0.895483,0.000007,0.000003,-1.000000,1.000000,0.000008,0.000444,gazebo_link_pair
0.442373,1.009949,0.979884,0.104517,1.009956,0.979887,-0.895483,0.000007,0.000003,-1.000000,1.000000,0.000007,0.000411,gazebo_link_pair
0.442452,1.009949,0.979884,0.104517,1.009955,0.979887,-0.895483,0.000006,0.000003,-1.000000,1.000000,0.000007,0.000377,gazebo_link_pair
0.452168,1.009949,0.979884,0.104517,1.009955,0.979887,-0.895483,0.000005,0.000003,-1.000000,1.000000,0.000006,0.000344,gazebo_link_pair
0.452256,1.009949,0.979884,0.104517,1.009954,0.979887,-0.895483,0.000005,0.000003,-1.000000,1.000000,0.000005,0.000312,gazebo_link_pair
0.462369,1.009949,0.979884,0.104517,1.009953,0.979886,-0.895483,0.000004,0.000003,-1.000000,1.000000,0.000005,0.000280,gazebo_link_pair
0.462446,1.009949,0.979884,0.104517,1.009953,0.979886,-0.895483,0.000004,0.000003,-1.000000,1.000000,0.000004,0.000248,gazebo_link_pair
0.462489,1.009949,0.979884,0.104517,1.009952,0.979886,-0.895483,0.000003,0.000002,-1.000000,1.000000,0.000004,0.000218,gazebo_link_pair
0.471908,1.009949,0.979884,0.104517,1.009951,0.979886,-0.895483,0.000002,0.000002,-1.000000,1.000000,0.000003,0.000190,gazebo_link_pair
0.471936,1.009949,0.979884,0.104517,1.009951,0.979886,-0.895483,0.000002,0.000002,-1.000000,1.000000,0.000003,0.000144,gazebo_link_pair
0.481827,1.009949,0.979884,0.104517,1.009950,0.979886,-0.895483,0.000001,0.000002,-1.000000,1.000000,0.000002,0.000121,gazebo_link_pair
0.481848,1.009949,0.979884,0.104517,1.009950,0.979886,-0.895483,0.000000,0.000002,-1.000000,1.000000,0.000002,0.000106,gazebo_link_pair
0.481859,1.009949,0.979884,0.104517,1.009949,0.979886,-0.895483,-0.000000,0.000002,-1.000000,1.000000,0.000002,0.000101,gazebo_link_pair
0.492065,1.009949,0.979884,0.104517,1.009948,0.979886,-0.895483,-0.000001,0.000002,-1.000000,1.000000,0.000002,0.000109,gazebo_link_pair
0.492115,1.009949,0.979884,0.104517,1.009948,0.979886,-0.895483,-0.000002,0.000002,-1.000000,1.000000,0.000002,0.000126,gazebo_link_pair
0.501950,1.009949,0.979884,0.104517,1.009947,0.979885,-0.895483,-0.000002,0.000002,-1.000000,1.000000,0.000003,0.000149,gazebo_link_pair
0.502022,1.009949,0.979884,0.104517,1.009947,0.979885,-0.895483,-0.000003,0.000001,-1.000000,1.000000,0.000003,0.000177,gazebo_link_pair
0.502087,1.009949,0.979884,0.104517,1.009946,0.979885,-0.895483,-0.000003,0.000001,-1.000000,1.000000,0.000004,0.000206,gazebo_link_pair
0.512183,1.009949,0.979884,0.104517,1.009945,0.979885,-0.895483,-0.000004,0.000001,-1.000000,1.000000,0.000004,0.000238,gazebo_link_pair
0.512265,1.009949,0.979884,0.104517,1.009945,0.979885,-0.895483,-0.000005,0.000001,-1.000000,1.000000,0.000005,0.000270,gazebo_link_pair
0.512312,1.009949,0.979884,0.104517,1.009944,0.979885,-0.895483,-0.000005,0.000001,-1.000000,1.000000,0.000005,0.000302,gazebo_link_pair
0.521919,1.009949,0.979884,0.104517,1.009943,0.979885,-0.895483,-0.000006,0.000001,-1.000000,1.000000,0.000006,0.000336,gazebo_link_pair
0.521999,1.009949,0.979884,0.104517,1.009943,0.979885,-0.895483,-0.000006,0.000001,-1.000000,1.000000,0.000006,0.000369,gazebo_link_pair
0.531999,1.009949,0.979884,0.104517,1.009942,0.979885,-0.895483,-0.000007,0.000001,-1.000000,1.000000,0.000007,0.000403,gazebo_link_pair
0.532079,1.009949,0.979884,0.104517,1.009942,0.979885,-0.895483,-0.000008,0.000001,-1.000000,1.000000,0.000008,0.000437,gazebo_link_pair
0.542125,1.009949,0.979884,0.104517,1.009941,0.979885,-0.895483,-0.000008,0.000000,-1.000000,1.000000,0.000008,0.000479,gazebo_link_pair
0.542203,1.009949,0.979884,0.104517,1.009940,0.979884,-0.895483,-0.000009,0.000000,-1.000000,1.000000,0.000009,0.000513,gazebo_link_pair
0.542251,1.009949,0.979884,0.104517,1.009940,0.979884,-0.895483,-0.000010,0.000000,-1.000000,1.000000,0.000010,0.000547,gazebo_link_pair
0.552260,1.009949,0.979884,0.104517,1.009939,0.979884,-0.895483,-0.000010,0.000000,-1.000000,1.000000,0.000010,0.000581,gazebo_link_pair
0.552369,1.009949,0.979884,0.104517,1.009939,0.979884,-0.895483,-0.000011,0.000000,-1.000000,1.000000,0.000011,0.000615,gazebo_link_pair
0.552420,1.009949,0.979884,0.104517,1.009938,0.979884,-0.895483,-0.000011,-0.000000,-1.000000,1.000000,0.000011,0.000650,gazebo_link_pair
0.562150,1.009949,0.979884,0.104517,1.009937,0.979884,-0.895483,-0.000012,-0.000000,-1.000000,1.000000,0.000012,0.000684,gazebo_link_pair
0.562208,1.009949,0.979884,0.104517,1.009937,0.979884,-0.895483,-0.000013,-0.000000,-1.000000,1.000000,0.000013,0.000717,gazebo_link_pair
0.571914,1.009949,0.979884,0.104517,1.009936,0.979884,-0.895483,-0.000013,-0.000000,-1.000000,1.000000,0.000013,0.000751,gazebo_link_pair
0.571933,1.009949,0.979884,0.104517,1.009936,0.979884,-0.895483,-0.000014,-0.000000,-1.000000,1.000000,0.000014,0.000785,gazebo_link_pair
0.581805,1.009949,0.979884,0.104517,1.009935,0.979884,-0.895483,-0.000014,-0.000000,-1.000000,1.000000,0.000014,0.000819,gazebo_link_pair
0.581830,1.009949,0.979884,0.104517,1.009934,0.979883,-0.895483,-0.000015,-0.000001,-1.000000,1.000000,0.000015,0.000852,gazebo_link_pair
0.581844,1.009949,0.979884,0.104517,1.009934,0.979883,-0.895483,-0.000015,-0.000001,-1.000000,1.000000,0.000015,0.000886,gazebo_link_pair
0.592169,1.009949,0.979884,0.104517,1.009933,0.979883,-0.895483,-0.000016,-0.000001,-1.000000,1.000000,0.000016,0.000919,gazebo_link_pair
0.592237,1.009949,0.979884,0.104517,1.009933,0.979883,-0.895483,-0.000017,-0.000001,-1.000000,1.000000,0.000017,0.000952,gazebo_link_pair
0.602350,1.009949,0.979884,0.104517,1.009932,0.979883,-0.895483,-0.000017,-0.000001,-1.000000,1.000000,0.000017,0.000985,gazebo_link_pair
0.602431,1.009949,0.979884,0.104517,1.009931,0.979883,-0.895483,-0.000018,-0.000001,-1.000000,1.000000,0.000018,0.001029,gazebo_link_pair
0.602480,1.009949,0.979884,0.104517,1.009931,0.979883,-0.895483,-0.000018,-0.000001,-1.000000,1.000000,0.000019,0.001062,gazebo_link_pair
0.612180,1.009949,0.979884,0.104517,1.009930,0.979883,-0.895482,-0.000019,-0.000001,-1.000000,1.000000,0.000019,0.001094,gazebo_link_pair
0.612262,1.009949,0.979884,0.104517,1.009930,0.979883,-0.895482,-0.000020,-0.000002,-1.000000,1.000000,0.000020,0.001127,gazebo_link_pair
0.622307,1.009949,0.979884,0.104517,1.009929,0.979883,-0.895482,-0.000020,-0.000002,-1.000000,1.000000,0.000020,0.001159,gazebo_link_pair
0.622387,1.009949,0.979884,0.104517,1.009929,0.979882,-0.895482,-0.000021,-0.000002,-1.000000,1.000000,0.000021,0.001191,gazebo_link_pair
0.622434,1.009949,0.979884,0.104517,1.009928,0.979882,-0.895482,-0.000021,-0.000002,-1.000000,1.000000,0.000021,0.001223,gazebo_link_pair
0.632174,1.009949,0.979884,0.104517,1.009927,0.979882,-0.895482,-0.000022,-0.000002,-1.000000,1.000000,0.000022,0.001255,gazebo_link_pair
0.632258,1.009949,0.979884,0.104517,1.009927,0.979882,-0.895482,-0.000022,-0.000002,-1.000000,1.000000,0.000022,0.001286,gazebo_link_pair
0.642404,1.009949,0.979884,0.104517,1.009926,0.979882,-0.895482,-0.000023,-0.000002,-1.000000,1.000000,0.000023,0.001318,gazebo_link_pair
0.642481,1.009949,0.979884,0.104518,1.009926,0.979882,-0.895482,-0.000023,-0.000002,-1.000000,1.000000,0.000024,0.001349,gazebo_link_pair
0.642529,1.009949,0.979884,0.104518,1.009925,0.979882,-0.895482,-0.000024,-0.000002,-1.000000,1.000000,0.000024,0.001380,gazebo_link_pair
0.652127,1.009949,0.979884,0.104518,1.009925,0.979882,-0.895482,-0.000025,-0.000002,-1.000000,1.000000,0.000025,0.001411,gazebo_link_pair
0.652215,1.009949,0.979884,0.104518,1.009924,0.979882,-0.895482,-0.000025,-0.000002,-1.000000,1.000000,0.000025,0.001441,gazebo_link_pair
0.662331,1.009949,0.979884,0.104518,1.009924,0.979882,-0.895482,-0.000026,-0.000002,-1.000000,1.000000,0.000026,0.001472,gazebo_link_pair
0.662404,1.009949,0.979884,0.104518,1.009923,0.979881,-0.895482,-0.000026,-0.000002,-1.000000,1.000000,0.000026,0.001502,gazebo_link_pair
0.662446,1.009949,0.979884,0.104518,1.009923,0.979881,-0.895482,-0.000027,-0.000003,-1.000000,1.000000,0.000027,0.001543,gazebo_link_pair
0.671897,1.009949,0.979884,0.104518,1.009922,0.979881,-0.895482,-0.000027,-0.000003,-1.000000,1.000000,0.000027,0.001573,gazebo_link_pair
0.671929,1.009949,0.979884,0.104518,1.009921,0.979881,-0.895482,-0.000028,-0.000003,-1.000000,1.000000,0.000028,0.001602,gazebo_link_pair
0.681826,1.009949,0.979884,0.104518,1.009921,0.979881,-0.895482,-0.000028,-0.000003,-1.000000,1.000000,0.000028,0.001631,gazebo_link_pair
0.681846,1.009949,0.979884,0.104518,1.009920,0.979881,-0.895482,-0.000029,-0.000003,-1.000000,1.000000,0.000029,0.001660,gazebo_link_pair
0.681856,1.009949,0.979884,0.104518,1.009920,0.979881,-0.895482,-0.000029,-0.000003,-1.000000,1.000000,0.000029,0.001689,gazebo_link_pair
0.691978,1.009949,0.979884,0.104518,1.009919,0.979881,-0.895482,-0.000030,-0.000003,-1.000000,1.000000,0.000030,0.001717,gazebo_link_pair
0.692031,1.009949,0.979884,0.104518,1.009919,0.979881,-0.895482,-0.000030,-0.000003,-1.000000,1.000000,0.000030,0.001745,gazebo_link_pair
0.702250,1.009949,0.979884,0.104518,1.009918,0.979881,-0.895482,-0.000031,-0.000003,-1.000000,1.000000,0.000031,0.001773,gazebo_link_pair
0.702330,1.009949,0.979884,0.104518,1.009918,0.979881,-0.895482,-0.000031,-0.000004,-1.000000,1.000000,0.000031,0.001801,gazebo_link_pair
0.702385,1.009949,0.979884,0.104518,1.009917,0.979880,-0.895482,-0.000032,-0.000004,-1.000000,1.000000,0.000032,0.001828,gazebo_link_pair
0.712184,1.009949,0.979884,0.104518,1.009917,0.979880,-0.895482,-0.000032,-0.000004,-1.000000,1.000000,0.000032,0.001855,gazebo_link_pair
0.712268,1.009949,0.979884,0.104518,1.009917,0.979880,-0.895482,-0.000033,-0.000004,-1.000000,1.000000,0.000033,0.001882,gazebo_link_pair
0.722004,1.009949,0.979884,0.104518,1.009916,0.979880,-0.895482,-0.000033,-0.000004,-1.000000,1.000000,0.000033,0.001908,gazebo_link_pair
0.722096,1.009949,0.979884,0.104518,1.009916,0.979880,-0.895482,-0.000034,-0.000004,-1.000000,1.000000,0.000034,0.001935,gazebo_link_pair
