timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1784352842249165,0,-0.890561,-7.04103,353.295,0.648432,0.642956,-5,-1.53899,-7.68398,358.295,358.381,-0.0417779,-0.209748,51.1575,1.23944,1.20795,0
1784352842273165,0.024,-0.883141,-7.04737,354.488,0.673104,0.666976,-5,-1.55624,-7.71434,359.488,359.574,-0.0406909,-0.214823,51.2103,1.23862,1.20469,0
1784352842289165,0.04,-0.878105,-7.052,355.285,0.697986,0.691152,-5,-1.57609,-7.74316,360.285,360.372,-0.0395825,-0.219832,51.2447,1.23776,1.20128,0
1784352842313165,0.064,-0.870418,-7.0596,356.493,0.722835,0.715242,-5,-1.59325,-7.77484,361.493,361.58,-0.0383218,-0.226914,51.2969,1.23687,1.19775,0
1784352842329165,0.08,-0.865214,-7.06505,357.302,0.747407,0.73901,-5,-1.61262,-7.80406,362.302,362.39,-0.037436,-0.231549,51.331,1.23596,1.19414,0
1784352842353165,0.104,-0.85731,-7.07384,358.52,0.772109,0.762847,-5,-1.62942,-7.83668,363.52,363.608,-0.0390455,-0.240427,51.3805,1.23501,1.19038,0
1784352842369165,0.12,-0.851992,-7.08008,359.333,0.796807,0.786624,-5,-1.6488,-7.86671,364.333,364.422,-0.0381023,-0.244739,51.4131,1.23403,1.18651,0
1784352842393165,0.144,-0.843896,-7.09002,360.566,0.821473,0.810311,-5,-1.66537,-7.90033,365.566,365.655,-0.0359571,-0.253606,51.4631,1.23301,1.18252,0
1784352842409165,0.16,-0.838725,-7.09678,361.388,0.846126,0.833923,-5,-1.68485,-7.9307,366.388,366.478,-0.0352353,-0.25958,51.4954,1.23197,1.17841,0
1784352842433165,0.184,-0.831623,-7.10688,362.627,0.870916,0.857603,-5,-1.70254,-7.96448,367.627,367.718,-0.0360657,-0.267417,51.5448,1.23089,1.17415,0
1784352842449165,0.2,-0.827309,-7.11358,363.459,0.895356,0.880884,-5,-1.72267,-7.99446,368.459,368.549,-0.0368953,-0.272086,51.5779,1.2298,1.16983,0
1784352842473165,0.224,-0.821436,-7.12361,364.706,0.919934,0.90423,-5,-1.74137,-8.02784,369.706,369.798,-0.0368911,-0.28031,51.6268,1.22866,1.16537,0
1784352842489165,0.24,-0.817863,-7.13029,365.538,0.944515,0.92751,-5,-1.76238,-8.0578,370.538,370.63,-0.0358673,-0.284843,51.6596,1.22749,1.16079,0
1784352842513165,0.264,-0.812988,-7.1403,366.797,0.969018,0.950646,-5,-1.78201,-8.09094,371.797,371.889,-0.0352176,-0.292732,51.7098,1.2263,1.1561,0
1784352842529165,0.28,-0.810048,-7.14698,367.636,0.99354,0.973727,-5,-1.80359,-8.12071,372.636,372.729,-0.0348565,-0.29817,51.7423,1.22507,1.15129,0
1784352842545165,0.296,-0.807346,-7.15368,368.475,1.01804,0.996717,-5,-1.82539,-8.1504,373.475,373.569,-0.0349682,-0.304006,51.7737,1.22382,1.14636,0
1784352842569165,0.32,-0.803702,-7.16374,369.737,1.04249,1.01958,-5,-1.84619,-8.18332,374.737,374.831,-0.0343177,-0.311363,51.8232,1.22253,1.14132,0
1784352842593165,0.344,-0.800533,-7.17383,371.006,1.06692,1.04235,-5,-1.86745,-8.21617,376.006,376.1,-0.0346989,-0.319518,51.8743,1.22121,1.13617,0
1784352842609165,0.36,-0.798664,-7.18058,371.851,1.09142,1.0651,-5,-1.89009,-8.24568,376.851,376.946,-0.0342632,-0.324496,51.9077,1.21986,1.13088,0
1784352842633165,0.384,-0.796198,-7.19075,373.119,1.11571,1.08758,-5,-1.91191,-8.27832,378.119,378.215,-0.0338213,-0.332107,51.958,1.21848,1.12552,0
1784352842649165,0.4,-0.794212,-7.19586,373.931,1.1401,1.11007,-5,-1.93431,-8.30593,378.931,379.027,-0.0337754,-0.333839,51.9802,1.21707,1.12002,0
1784352842673165,0.424,-0.791543,-7.20357,375.151,1.16443,1.13242,-5,-1.95598,-8.33599,380.151,380.248,-0.0322884,-0.336008,52.0139,1.21563,1.11441,0
1784352842689165,0.44,-0.789966,-7.20873,375.967,1.18871,1.15462,-5,-1.97867,-8.36336,380.967,381.064,-0.0324102,-0.339038,52.0376,1.21416,1.1087,0
1784352842705165,0.456,-0.788531,-7.21393,376.784,1.21302,1.17679,-5,-2.00156,-8.39072,381.784,381.881,-0.0309175,-0.342253,52.0607,1.21266,1.10286,0
1784352842729165,0.48,-0.786627,-7.22179,378.02,1.23721,1.19873,-5,-2.02383,-8.42052,383.02,383.117,-0.0306861,-0.346821,52.0967,1.21113,1.09693,0
1784352842753165,0.504,-0.785022,-7.22973,379.257,1.26143,1.22062,-5,-2.04645,-8.45035,384.257,384.356,-0.029488,-0.35155,52.1336,1.20957,1.09088,0
1784352842769165,0.52,-0.784104,-7.23506,380.084,1.28563,1.2424,-5,-2.06973,-8.47746,385.084,385.183,-0.0300531,-0.353558,52.1581,1.20797,1.08472,0
1784352842793165,0.544,-0.782963,-7.24312,381.331,1.30974,1.26401,-5,-2.0927,-8.50712,386.331,386.43,-0.0306028,-0.358617,52.1979,1.20635,1.07846,0
1784352842809165,0.56,-0.782347,-7.24852,382.164,1.33384,1.28551,-5,-2.11619,-8.53403,387.164,387.264,-0.0313768,-0.361101,52.2237,1.2047,1.07209,0
1784352842825165,0.576,-0.781846,-7.25396,382.999,1.35789,1.30686,-5,-2.13974,-8.56082,387.999,388.099,-0.0314924,-0.364412,52.2514,1.20302,1.06561,0
1784352842849165,0.6,-0.78127,-7.2622,384.251,1.38199,1.32815,-5,-2.16326,-8.59035,389.251,389.352,-0.0314748,-0.368667,52.2912,1.2013,1.05901,0
1784352842873165,0.624,-0.780922,-7.27053,385.513,1.40598,1.34925,-5,-2.18691,-8.61978,390.513,390.615,-0.032566,-0.373297,52.3331,1.19956,1.05232,0
1784352842889165,0.64,-0.780806,-7.27615,386.355,1.42996,1.37024,-5,-2.21077,-8.64639,391.355,391.457,-0.0324951,-0.377034,52.36,1.19779,1.04552,0
1784352842913165,0.664,-0.780789,-7.28467,387.621,1.45393,1.3911,-5,-2.23472,-8.67578,392.621,392.724,-0.0340403,-0.381795,52.4038,1.19599,1.03861,0
1784352842929165,0.68,-0.78089,-7.29043,388.469,1.4778,1.41178,-5,-2.25869,-8.70221,393.469,393.572,-0.0342579,-0.386196,52.433,1.19416,1.03161,0
1784352842945165,0.696,-0.781071,-7.29626,389.318,1.50173,1.4324,-5,-2.28281,-8.72866,394.318,394.421,-0.0347699,-0.389876,52.4616,1.19229,1.02448,0
1784352842969165,0.72,-0.781481,-7.30512,390.59,1.52555,1.45281,-5,-2.30703,-8.75793,395.59,395.694,-0.036105,-0.397107,52.5039,1.1904,1.01727,0
1784352842985165,0.736,-0.781862,-7.31115,391.444,1.54931,1.47305,-5,-2.33117,-8.7842,396.444,396.548,-0.0376838,-0.401851,52.5348,1.18848,1.00996,0
1784352843009165,0.76,-0.782567,-7.32034,392.725,1.57306,1.49318,-5,-2.35562,-8.81352,397.725,397.829,-0.0374608,-0.408532,52.5812,1.18653,1.00255,0
1784352843033165,0.784,-0.78338,-7.3297,394.005,1.59672,1.51312,-5,-2.3801,-8.84281,399.005,399.11,-0.0368135,-0.41397,52.6264,1.18455,0.995048,0
1784352843049199,0.800034,-0.7833,-7.33336,394.829,1.62036,1.53291,-5,-2.40366,-8.86627,399.829,399.935,-0.0337912,-0.412859,52.6477,1.18254,0.987444,0
1784352843073199,0.824034,-0.783189,-7.339,396.072,1.64404,1.55263,-5,-2.42723,-8.89162,401.072,401.178,-0.0287467,-0.412416,52.6824,1.1805,0.979714,0
1784352843089199,0.840034,-0.783132,-7.34282,396.901,1.66763,1.57214,-5,-2.45076,-8.91496,401.901,402.008,-0.0273736,-0.409734,52.7069,1.17843,0.971903,0
1784352843105199,0.856034,-0.783098,-7.34667,397.732,1.69119,1.59151,-5,-2.47428,-8.93817,402.732,402.839,-0.0249334,-0.407971,52.7296,1.17633,0.963989,0
1784352843129199,0.880034,-0.783063,-7.35252,398.986,1.7147,1.61072,-5,-2.49776,-8.96323,403.986,404.093,-0.022425,-0.40741,52.7675,1.1742,0.95598,0
1784352843153199,0.904034,-0.783078,-7.35851,400.243,1.73817,1.62976,-5,-2.52125,-8.98827,405.243,405.351,-0.0213467,-0.408473,52.8048,1.17204,0.947875,0
1784352843169199,0.920034,-0.783119,-7.36259,401.083,1.76159,1.64864,-5,-2.54471,-9.01123,406.083,406.191,-0.0205971,-0.409174,52.829,1.16985,0.939681,0
1784352843193199,0.944034,-0.783214,-7.36883,402.346,1.78495,1.66734,-5,-2.56816,-9.03616,407.346,407.454,-0.0193342,-0.410125,52.8657,1.16764,0.931396,0
1784352843209199,0.960034,-0.783297,-7.37306,403.192,1.80828,1.68588,-5,-2.59158,-9.05894,408.192,408.3,-0.0179068,-0.410889,52.8928,1.16539,0.923011,0
1784352843233199,0.984034,-0.783442,-7.37955,404.461,1.83155,1.70424,-5,-2.61499,-9.08379,409.461,409.571,-0.0162322,-0.413736,52.9332,1.16312,0.914543,0
1784352843249199,1.00003,-0.783561,-7.38397,405.309,1.85483,1.72248,-5,-2.63839,-9.10645,410.309,410.418,-0.0154303,-0.414857,52.9595,1.16081,0.905961,0
1784352843265199,1.01603,-0.783676,-7.38848,406.159,1.87806,1.74054,-5,-2.66173,-9.12902,411.159,411.269,-0.0134504,-0.4181,52.9854,1.15847,0.897291,0
1784352843289199,1.04003,-0.783865,-7.39545,407.439,1.90113,1.75834,-5,-2.68499,-9.15379,412.439,412.549,-0.0125661,-0.423008,53.0261,1.15612,0.888571,0
1784352843313199,1.06403,-0.784108,-7.40268,408.719,1.92425,1.77604,-5,-2.70836,-9.17872,413.719,413.829,-0.0118079,-0.428899,53.0662,1.15372,0.879726,0
1784352843329199,1.08003,-0.784283,-7.40764,409.572,1.94726,1.79352,-5,-2.73154,-9.20115,414.572,414.683,-0.010456,-0.43193,53.0927,1.15131,0.870818,0
1784352843353199,1.10403,-0.784525,-7.41528,410.861,1.97025,1.81084,-5,-2.75478,-9.22612,415.861,415.973,-0.00715428,-0.435954,53.1356,1.14886,0.86181,0
1784352843369199,1.12003,-0.784695,-7.4205,411.72,1.99325,1.82802,-5,-2.77795,-9.24852,416.72,416.832,-0.00703126,-0.438459,53.1632,1.14638,0.852695,0
1784352843393199,1.14403,-0.784976,-7.42852,413.009,2.01613,1.84496,-5,-2.80111,-9.27348,418.009,418.121,-0.00528222,-0.442945,53.2053,1.14388,0.843521,0
1784352843409199,1.16003,-0.785173,-7.43401,413.871,2.039,1.86175,-5,-2.82417,-9.29576,418.871,418.984,-0.0053953,-0.446292,53.2351,1.14134,0.834249,0
1784352843433199,1.18403,-0.785499,-7.44243,415.168,2.06192,1.87843,-5,-2.84742,-9.32087,420.168,420.281,-0.0043503,-0.449281,53.2801,1.13876,0.824848,0
1784352843449199,1.20003,-0.785491,-7.44485,416,2.08459,1.89477,-5,-2.87008,-9.33963,421,421.114,-0.00239214,-0.445311,53.2992,1.13618,0.81545,0
1784352843473199,1.22403,-0.785424,-7.44865,417.256,2.10729,1.91099,-5,-2.89272,-9.35965,422.256,422.37,0.00273534,-0.43976,53.329,1.13356,0.805932,0
1784352843489199,1.24003,-0.78534,-7.4513,418.096,2.12988,1.92698,-5,-2.91522,-9.37828,423.096,423.21,0.00396094,-0.438381,53.3485,1.13092,0.79636,0
1784352843505199,1.25603,-0.785247,-7.45406,418.938,2.15246,1.9428,-5,-2.93771,-9.39686,423.938,424.052,0.00523602,-0.436609,53.3693,1.12824,0.78669,0
1784352843529199,1.28003,-0.785071,-7.4584,420.204,2.17502,1.95845,-5,-2.96009,-9.41685,425.204,425.319,0.00879876,-0.434884,53.4015,1.12554,0.776931,0
1784352843545199,1.29603,-0.784913,-7.46141,421.052,2.19749,1.97388,-5,-2.9824,-9.43529,426.052,426.167,0.0107859,-0.433585,53.4237,1.1228,0.767105,0
1784352843569199,1.32003,-0.784662,-7.46611,422.326,2.21994,1.98914,-5,-3.0046,-9.45525,427.326,427.441,0.0123452,-0.432493,53.456,1.12004,0.757186,0
1784352843593199,1.34403,-0.784369,-7.47103,423.601,2.24231,2.00418,-5,-3.02668,-9.47522,428.601,428.716,0.0153885,-0.433642,53.4891,1.11725,0.747203,0
1784352843609199,1.36003,-0.784144,-7.47447,424.456,2.26462,2.01902,-5,-3.04876,-9.49349,429.456,429.572,0.0162413,-0.434789,53.5134,1.11444,0.73715,0
1784352843633199,1.38403,-0.783779,-7.4798,425.74,2.28687,2.03365,-5,-3.07065,-9.51346,430.74,430.856,0.0192921,-0.43319,53.5506,1.11159,0.727023,0
1784352843649199,1.40003,-0.783511,-7.48347,426.596,2.3091,2.04811,-5,-3.09261,-9.53158,431.596,431.713,0.0203015,-0.434385,53.5741,1.10872,0.716807,0
1784352843673199,1.42403,-0.7831,-7.48922,427.884,2.33123,2.06233,-5,-3.11433,-9.55155,432.884,433.001,0.0229434,-0.435813,53.6113,1.10582,0.706538,0
1784352843689199,1.44003,-0.782791,-7.49321,428.747,2.35332,2.07636,-5,-3.13611,-9.56957,433.747,433.863,0.0248078,-0.437263,53.6362,1.10289,0.69619,0
1784352843713199,1.46403,-0.782297,-7.49941,430.04,2.37535,2.09018,-5,-3.15765,-9.5896,435.04,435.157,0.0271299,-0.439827,53.6752,1.09994,0.685772,0
1784352843729199,1.48003,-0.781962,-7.5037,430.903,2.39733,2.1038,-5,-3.17929,-9.60751,435.903,436.02,0.028458,-0.441038,53.7005,1.09695,0.675281,0
1784352843753199,1.50403,-0.781425,-7.51042,432.202,2.41924,2.1172,-5,-3.20067,-9.62762,437.202,437.32,0.0317743,-0.444913,53.7382,1.09394,0.664727,0
1784352843769199,1.52003,-0.781031,-7.51507,433.07,2.44112,2.13041,-5,-3.22215,-9.64548,438.07,438.188,0.0338501,-0.447651,53.764,1.0909,0.654095,0
1784352843785199,1.53603,-0.780628,-7.51986,433.938,2.46287,2.14336,-5,-3.2435,-9.66322,438.938,439.056,0.0349832,-0.450118,53.7898,1.08784,0.643427,0
1784352843809199,1.56003,-0.779999,-7.5273,435.24,2.48462,2.15614,-5,-3.26461,-9.68343,440.24,440.358,0.0386248,-0.454598,53.8288,1.08474,0.632668,0
1784352843833199,1.58403,-0.779299,-7.53509,436.549,2.50625,2.16866,-5,-3.28555,-9.70375,441.549,441.668,0.0416258,-0.458895,53.8719,1.08163,0.621873,0
1784352843849199,1.60003,-0.779247,-7.53621,437.394,2.52786,2.181,-5,-3.3071,-9.71721,442.394,442.513,0.0449631,-0.452872,53.8903,1.07848,0.610994,0
1784352843865199,1.61603,-0.779124,-7.53748,438.24,2.54941,2.19311,-5,-3.32853,-9.73059,443.24,443.359,0.0477297,-0.448467,53.9074,1.07531,0.600053,0
1784352843889199,1.64003,-0.778824,-7.53965,439.513,2.57087,2.205,-5,-3.3497,-9.74466,444.513,444.633,0.0514967,-0.443769,53.9358,1.07211,0.589061,0
1784352843913199,1.66403,-0.778374,-7.54217,440.793,2.5923,2.21668,-5,-3.37068,-9.75885,445.793,445.912,0.0566366,-0.439546,53.9649,1.06888,0.577996,0
1784352843929199,1.68003,-0.777992,-7.54402,441.647,2.61361,2.22811,-5,-3.3916,-9.77213,446.647,446.767,0.0598386,-0.436588,53.9846,1.06563,0.566904,0
1784352843953199,1.70403,-0.777332,-7.54702,442.93,2.63491,2.23935,-5,-3.41225,-9.78637,447.93,448.049,0.0625669,-0.432514,54.0147,1.06235,0.555723,0
1784352843969199,1.72003,-0.776828,-7.5492,443.79,2.65613,2.25035,-5,-3.43296,-9.79955,448.79,448.91,0.0647495,-0.431349,54.0354,1.05904,0.544498,0
1784352843985199,1.73603,-0.776288,-7.55151,444.651,2.67729,2.26114,-5,-3.45358,-9.81264,449.651,449.771,0.0660504,-0.429464,54.0573,1.0557,0.533211,0
1784352844009199,1.76003,-0.775419,-7.55519,445.943,2.69837,2.27169,-5,-3.47379,-9.82688,450.943,451.064,0.0688359,-0.427515,54.09,1.05234,0.52188,0
1784352844033199,1.78403,-0.774435,-7.55915,447.239,2.71939,2.28202,-5,-3.49383,-9.84117,452.239,452.36,0.0729477,-0.424634,54.1235,1.04895,0.51049,0
1784352844049233,1.80007,-0.773723,-7.56195,448.107,2.74029,2.29209,-5,-3.51401,-9.85404,453.107,453.227,0.074059,-0.424583,54.1472,1.04555,0.499081,0
1784352844073233,1.82407,-0.772608,-7.56642,449.408,2.76128,2.30201,-5,-3.53389,-9.86843,454.408,454.529,0.0764403,-0.424438,54.1814,1.04209,0.487533,0
1784352844089233,1.84007,-0.771825,-7.56957,450.276,2.782,2.31161,-5,-3.55383,-9.88118,455.276,455.397,0.078697,-0.42428,54.2045,1.03864,0.476046,0
1784352844105233,1.85607,-0.771005,-7.57288,451.147,2.80286,2.32106,-5,-3.57386,-9.89394,456.147,456.268,0.0798579,-0.425166,54.2292,1.03513,0.464398,0
1784352844129233,1.88007,-0.769712,-7.57815,452.457,2.82339,2.33018,-5,-3.59311,-9.90832,457.457,457.578,0.0834696,-0.427426,54.2651,1.03164,0.452845,0
1784352844153233,1.90407,-0.768349,-7.58376,453.767,2.84409,2.33916,-5,-3.61244,-9.92292,458.767,458.888,0.0871145,-0.428587,54.3029,1.02808,0.441117,0
1784352844169233,1.92007,-0.767389,-7.58768,454.64,2.86459,2.34786,-5,-3.63198,-9.93554,459.64,459.762,0.08819,-0.429923,54.3266,1.02452,0.42941,0
1784352844185233,1.93607,-0.766404,-7.59179,455.519,2.88498,2.3563,-5,-3.65138,-9.94809,460.519,460.641,0.0899993,-0.432172,54.3529,1.02093,0.417688,0
1784352844209233,1.96007,-0.764879,-7.59827,456.836,2.90537,2.36454,-5,-3.67025,-9.96281,461.836,461.958,0.0919861,-0.43642,54.391,1.01731,0.405884,0
1784352844233233,1.98407,-0.763324,-7.6051,458.154,2.92568,2.37254,-5,-3.689,-9.97764,463.154,463.276,0.0932768,-0.43907,54.4281,1.01367,0.394039,0
1784352844249233,2.00007,-0.763869,-7.60595,459.008,2.94593,2.3803,-5,-3.7098,-9.98625,464.008,464.13,0.0945979,-0.436541,54.4438,1.01,0.382151,0
1784352844273233,2.02407,-0.764505,-7.60758,460.294,2.96608,2.38782,-5,-3.73058,-9.9954,465.294,465.416,0.0971142,-0.430974,54.4706,1.0063,0.370238,0
1784352844289233,2.04007,-0.764832,-7.60889,461.152,2.98618,2.39511,-5,-3.75101,-10.004,466.152,466.275,0.0976173,-0.428258,54.489,1.00258,0.358275,0
1784352844313233,2.06407,-0.765206,-7.61118,462.442,3.00619,2.40216,-5,-3.7714,-10.0133,467.442,467.565,0.0980925,-0.423233,54.5151,0.998837,0.346279,0
1784352844329233,2.08007,-0.765379,-7.6129,463.307,3.02609,2.40895,-5,-3.79147,-10.0219,468.307,468.43,0.098076,-0.421251,54.5341,0.995074,0.334276,0
1784352844353233,2.10407,-0.765548,-7.61581,464.606,3.04596,2.41552,-5,-3.81151,-10.0313,469.606,469.729,0.0989028,-0.419473,54.5623,0.991279,0.322213,0
1784352844369233,2.12007,-0.765592,-7.61795,465.473,3.06576,2.42184,-5,-3.83135,-10.0398,470.473,470.595,0.099504,-0.417424,54.5819,0.987457,0.310114,0
1784352844385233,2.13607,-0.765597,-7.62023,466.34,3.06576,2.42184,-5,-3.83135,-10.0421,471.34,471.462,0.0985606,-0.416372,54.6009,0.987457,0.310114,0
1784352844409233,2.16007,-0.765542,-7.62396,467.648,3.08546,2.42792,-5,-3.851,-10.0519,472.648,472.771,0.0978584,-0.416208,54.6333,0.983614,0.297994,0
1784352844433233,2.18407,-0.765382,-7.62807,468.957,3.12468,2.43936,-5,-3.89006,-10.0674,473.957,474.08,0.100058,-0.416172,54.6666,0.975846,0.273641,0
1784352844449233,2.20007,-0.765221,-7.63099,469.831,3.14412,2.4447,-5,-3.90934,-10.0757,474.831,474.954,0.0997019,-0.416777,54.6876,0.971934,0.26145,0
1784352844473233,2.22407,-0.764902,-7.63572,471.146,3.16354,2.44981,-5,-3.92844,-10.0855,476.146,476.269,0.101004,-0.418228,54.7213,0.967989,0.249203,0
1784352844489233,2.24007,-0.764624,-7.63909,472.024,3.1829,2.45469,-5,-3.94752,-10.0938,477.024,477.147,0.102396,-0.419018,54.7451,0.964014,0.236915,0
1784352844513233,2.26407,-0.764123,-7.64445,473.342,3.20211,2.4593,-5,-3.96624,-10.1037,478.342,478.465,0.103266,-0.420772,54.7777,0.960029,0.224648,0
1784352844529233,2.28007,-0.763741,-7.64823,474.224,3.22125,2.46366,-5,-3.98499,-10.1119,479.224,479.347,0.103528,-0.421389,54.7998,0.956018,0.212353,0
1784352844553233,2.30407,-0.763085,-7.65422,475.549,3.24035,2.46779,-5,-4.00344,-10.122,480.549,480.673,0.104134,-0.423767,54.8349,0.951975,0.200011,0
1784352844569233,2.32007,-0.762639,-7.65843,476.433,3.25939,2.47167,-5,-4.02203,-10.1301,481.433,481.557,0.10244,-0.426544,54.8591,0.947905,0.187637,0
1784352844593233,2.34407,-0.761944,-7.66506,477.759,3.27823,2.47529,-5,-4.04018,-10.1404,482.759,482.883,0.102437,-0.430768,54.8954,0.943835,0.17532,0
1784352844609233,2.36007,-0.761444,-7.66973,478.646,3.29708,2.47867,-5,-4.05853,-10.1484,483.646,483.769,0.102904,-0.433655,54.9199,0.939722,0.162924,0
1784352844633233,2.38407,-0.760629,-7.67707,479.978,3.31582,2.48181,-5,-4.07645,-10.1589,484.978,485.102,0.103941,-0.43739,54.956,0.935593,0.150534,0
1784352844649233,2.40007,-0.761809,-7.67754,480.841,3.3345,2.48469,-5,-4.09631,-10.1622,485.841,485.965,0.104097,-0.433977,54.9707,0.931434,0.138112,0
1784352844673233,2.42407,-0.763417,-7.67868,482.138,3.35307,2.48733,-5,-4.11649,-10.166,487.138,487.262,0.102815,-0.430246,54.9944,0.927257,0.12569,0
1784352844689233,2.44007,-0.76438,-7.67971,483.008,3.35307,2.48733,-5,-4.11745,-10.167,488.008,488.131,0.102801,-0.427106,55.0115,0.927257,0.12569,0
1784352844705233,2.45607,-0.765267,-7.68093,483.878,3.39011,2.49187,-5,-4.15538,-10.1728,488.878,489.002,0.102243,-0.423805,55.0287,0.918802,0.100717,0
1784352844729233,2.48007,-0.766455,-7.68311,485.185,3.40837,2.49375,-5,-4.17482,-10.1769,490.185,490.309,0.10236,-0.421109,55.0567,0.91457,0.0883017,0
1784352844753233,2.50407,-0.767501,-7.68573,486.496,3.42661,2.49539,-5,-4.19411,-10.1811,491.496,491.619,0.100759,-0.419075,55.0844,0.910301,0.0758377,0
1784352844769233,2.52007,-0.76813,-7.6877,487.373,3.44477,2.49679,-5,-4.2129,-10.1845,492.373,492.497,0.099447,-0.418277,55.1032,0.906006,0.0633547,0
1784352844785233,2.53607,-0.768707,-7.68984,488.251,3.46278,2.49793,-5,-4.23149,-10.1878,493.251,493.374,0.0993167,-0.417417,55.1224,0.901704,0.0509123,0
1784352844809233,2.56007,-0.769488,-7.69339,489.571,3.48085,2.49882,-5,-4.25034,-10.1922,494.571,494.694,0.0967579,-0.41576,55.1543,0.897346,0.0383676,0
1784352844825233,2.57607,-0.76995,-7.69597,490.454,3.49872,2.49946,-5,-4.26867,-10.1954,495.454,495.577,0.0960832,-0.41642,55.176,0.892992,0.0258959,0
1784352844849233,2.60007,-0.770576,-7.70016,491.779,3.51655,2.49986,-5,-4.28712,-10.2,496.779,496.902,0.0936145,-0.417105,55.2085,0.888605,0.0133903,0
1784352844873233,2.62407,-0.771152,-7.70477,493.107,3.53431,2.5,-5,-4.30546,-10.2048,498.107,498.23,0.0913613,-0.417415,55.2391,0.88419,0.000867342,0
1784352844889233,2.64007,-0.771492,-7.70807,493.995,3.55193,2.49989,-5,-4.32342,-10.208,498.995,499.118,0.0900615,-0.418089,55.2606,0.879765,-0.0116228,0
1784352844913233,2.66407,-0.771937,-7.71332,495.327,3.56948,2.49953,-5,-4.34141,-10.2129,500.327,500.451,0.0885395,-0.418962,55.294,0.875316,-0.0241158,0
1784352844929233,2.68007,-0.772206,-7.71703,496.216,3.58696,2.49893,-5,-4.35916,-10.216,501.216,501.339,0.0873849,-0.420778,55.3155,0.870838,-0.0366251,0
1784352844953233,2.70407,-0.772533,-7.72295,497.553,3.60434,2.49807,-5,-4.37687,-10.221,502.553,502.676,0.0859308,-0.422695,55.3506,0.866342,-0.0491238,0
1784352844969233,2.72007,-0.772723,-7.72713,498.446,3.62163,2.49696,-5,-4.39435,-10.2241,503.446,503.569,0.0848472,-0.424807,55.3729,0.861823,-0.0616187,0
1784352844985233,2.73607,-0.772886,-7.7315,499.339,3.6388,2.4956,-5,-4.41169,-10.2271,504.339,504.462,0.0841577,-0.428954,55.3958,0.857289,-0.0740884,0
1784352845009233,2.76007,-0.773066,-7.73847,500.683,3.65588,2.494,-5,-4.42895,-10.2325,505.683,505.806,0.0834642,-0.435063,55.4327,0.852736,-0.0865463,0
1784352845033233,2.78407,-0.773183,-7.74591,502.029,3.67293,2.49214,-5,-4.44611,-10.238,507.029,507.151,0.0813281,-0.441246,55.4687,0.848144,-0.0990419,0
1784352845049267,2.8001,-0.775008,-7.74585,502.899,3.68982,2.49004,-5,-4.46483,-10.2359,507.899,508.021,0.0782922,-0.437873,55.4822,0.843549,-0.11148,0
1784352845073267,2.8241,-0.777588,-7.74621,504.209,3.70664,2.48769,-5,-4.48423,-10.2339,509.209,509.332,0.0763708,-0.431597,55.5027,0.838929,-0.123917,0
1784352845089267,2.8401,-0.779204,-7.74675,505.086,3.7234,2.48508,-5,-4.50261,-10.2318,510.086,510.208,0.0748131,-0.428487,55.5193,0.834276,-0.136374,0
1784352845113267,2.8641,-0.781495,-7.74798,506.402,3.74004,2.48223,-5,-4.52154,-10.2302,511.402,511.524,0.0732943,-0.425944,55.5427,0.829612,-0.148791,0
1784352845129267,2.8801,-0.782936,-7.74908,507.28,3.75657,2.47913,-5,-4.53951,-10.2282,512.28,512.402,0.0707582,-0.422396,55.5595,0.82493,-0.161185,0
1784352845145267,2.8961,-0.784323,-7.75037,508.163,3.77305,2.47578,-5,-4.55737,-10.2261,513.163,513.285,0.0681106,-0.420107,55.5764,0.820217,-0.17359,0
1784352845169267,2.9201,-0.786331,-7.75268,509.488,3.78935,2.47219,-5,-4.57568,-10.2249,514.488,514.61,0.0645702,-0.417949,55.604,0.815507,-0.185918,0
1784352845193267,2.9441,-0.78822,-7.75542,510.817,3.80563,2.46835,-5,-4.59385,-10.2238,515.817,515.939,0.0624766,-0.417108,55.6329,0.810756,-0.198279,0
1784352845209267,2.9601,-0.789435,-7.7575,511.706,3.82181,2.46425,-5,-4.61125,-10.2218,516.706,516.828,0.0599611,-0.416614,55.6517,0.805984,-0.210623,0
1784352845233267,2.9841,-0.791172,-7.76096,513.04,3.8379,2.45991,-5,-4.62907,-10.2209,518.04,518.162,0.0582069,-0.416367,55.6812,0.801192,-0.222947,0
1784352845249267,3.0001,-0.792276,-7.76351,513.93,3.85384,2.45534,-5,-4.64612,-10.2189,518.93,519.051,0.0570925,-0.416697,55.7011,0.796394,-0.235212,0
1784352845273267,3.0241,-0.793844,-7.76773,515.271,3.86974,2.45051,-5,-4.66359,-10.2182,520.271,520.392,0.054605,-0.418251,55.7307,0.79156,-0.247492,0
1784352845289267,3.0401,-0.794853,-7.77079,516.165,3.88556,2.44542,-5,-4.68042,-10.2162,521.165,521.287,0.0526405,-0.420076,55.7514,0.786702,-0.259761,0
1784352845313267,3.0641,-0.796311,-7.77574,517.507,3.90122,2.44012,-5,-4.69753,-10.2159,522.507,522.628,0.0501698,-0.421073,55.782,0.781844,-0.271951,0
